inventario_id,cliente_nombre,cliente_id,tipo_equipo,marca,modelo,numero_serie,fecha_compra,unidad,ubicacion_id,ciudad_localidad,estado_operativo,combustible,potencia_valor,potencia_unidad,horometro_actual_h,garantia_activa,ultima revición
EQP-0026,Cliente 026,CLI-026,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-766490,09/01/24,Taller,4,Río Grande,Operativo,Mixto,180,bar,1022,No,2024-09-01T00:00:00Z
EQP-0093,Cliente 030,CLI-030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-248757,08/10/24,Sucursal,4,Ushuaia,Operativo,Diésel,300,A,4222,No,2024-08-10T00:00:00Z
EQP-0087,Cliente 038,CLI-038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-436199,16/07/24,Oficina,1,Tolhuin,Operativo,Diésel,95,kW,3514,No,2024-07-16T00:00:00Z
EQP-0096,Cliente 048,CLI-048,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,KÄHDS9-277900,17/04/25,Planta,5,Río Grande,Operativo,Mixto,180,bar,1263,Sí,2025-04-17T00:00:00Z
EQP-0056,Cliente 011,CLI-011,Motor Cummins,Cummins,QSB 6.7,CUQSB6-499384,10/05/25,Obra,2,Tolhuin,Operativo,Diésel,125,kW,464,Sí,2025-10-05T00:00:00Z
EQP-0043,Cliente 030,CLI-030,Motor Cummins,Cummins,QSB 4.5,CUQSB4-608153,22/07/25,Depósito,3,Río Grande,Operativo,Diésel,125,kW,4612,No,2025-07-22T00:00:00Z
EQP-0058,Cliente 008,CLI-008,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-903692,16/07/24,Oficina,5,Ushuaia,Operativo,Diésel,95,kW,2830,No,2024-07-16T00:00:00Z
EQP-0064,Cliente 038,CLI-038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-105287,13/04/25,Depósito,4,Ushuaia,Operativo,Mixto,180,bar,2510,No,2025-04-13T00:00:00Z
EQP-0075,Cliente 049,CLI-049,Motor Cummins,Cummins,QSB 4.5,CUQSB4-306988,04/10/24,Oficina,2,Río Grande,Operativo,Diésel,125,kW,3231,No,2024-04-10T00:00:00Z
EQP-0073,Cliente 044,CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-226108,28/04/25,Sucursal,3,Río Grande,Operativo,Diésel,300,A,20868,Sí,2025-04-28T00:00:00Z
EQP-0063,Cliente 048,CLI-048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-101917,16/11/24,Sucursal,4,Tolhuin,Operativo,Diésel,95,kW,5049,No,2024-11-16T00:00:00Z
EQP-0019,Cliente 036,CLI-036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),GEGUAR-599522,01/08/24,Planta,1,Ushuaia,Operativo,Gas,10,kVA,1953,No,2024-01-08T00:00:00Z
EQP-0042,Cliente 048,CLI-048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-943523,01/10/25,Oficina,1,Ushuaia,servicio,Diésel,300,A,45437,No,2025-01-10T00:00:00Z
EQP-0010,Cliente 030,CLI-030,Motor Cummins,Cummins,QSB 6.7,CUQSB6-213632,08/09/25,Taller,4,Tolhuin,Operativo,Diésel,150,kW,256,Sí,2025-08-09T00:00:00Z
EQP-0081,Cliente 040,CLI-040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-429670,03/04/25,Obra,5,Ushuaia,Operativo,Diésel,300,A,1461,No,2025-03-04T00:00:00Z
EQP-0067,Cliente 005,CLI-005,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,KÄHDS9-622244,15/12/24,Sucursal,3,Ushuaia,Operativo,Mixto,180,bar,4317,No,2024-12-15T00:00:00Z
EQP-0064,Cliente 038,CLI-038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-105287,13/04/25,Depósito,4,Ushuaia,Operativo,Mixto,180,bar,2510,No,2025-04-13T00:00:00Z
EQP-0074,Cliente 049,CLI-049,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),GEGUAR-964266,23/12/24,Oficina,2,Río Grande,Operativo,Gas,10,kVA,5460,No,2024-12-23T00:00:00Z
EQP-0046,Cliente 039,CLI-039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,KÄHDS9-170390,01/11/24,Sucursal,2,Río Grande,Operativo,Mixto,180,bar,2452,No,2024-01-11T00:00:00Z
EQP-0003,Cliente 048,CLI-048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-182989,24/02/25,Taller,3,Ushuaia,Operativo,Diésel,95,kW,2952,No,2025-02-24T00:00:00Z
EQP-0035,Cliente 026,CLI-026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),GEGUAR-734421,13/08/24,Oficina,3,Tolhuin,Operativo,Gas,8,kVA,919,Sí,2024-08-13T00:00:00Z
EQP-0061,Cliente 026,CLI-026,Motor Cummins,Cummins,QSB 4.5,CUQSB4-360669,16/05/24,Planta,2,Ushuaia,Mantenimiento,Diésel,125,kW,1639,Sí,2024-05-16T00:00:00Z
EQP-0007,Cliente 036,CLI-036,Motor Cummins,Cummins,QSB 4.5,CUQSB4-653880,12/04/24,Taller,4,Tolhuin,Operativo,Diésel,180,kW,3751,No,2024-12-04T00:00:00Z
EQP-0069,Cliente 049,CLI-049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GEGUAR-538774,10/05/25,Depósito,5,Ushuaia,servicio,Gas,10,kVA,1538,Sí,2025-10-05T00:00:00Z
EQP-0052,Cliente 016,CLI-016,Motor Cummins,Cummins,QSB 4.5,CUQSB4-480975,17/10/24,Taller,1,Ushuaia,Operativo,Diésel,150,kW,795,Sí,2024-10-17T00:00:00Z
EQP-0078,Cliente 005,CLI-005,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-905688,08/08/24,Planta,3,Río Grande,en operación,Mixto,180,bar,838,Sí,2024-08-08T00:00:00Z
EQP-0027,Cliente 049,CLI-049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-450605,21/08/25,Depósito,5,Tolhuin,Operativo,Diésel,95,kW,3512,No,2025-08-21T00:00:00Z
EQP-0033,Cliente 044,CLI-044,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GEGUAR-922827,07/06/25,Taller,5,Ushuaia,Operativo,Gas,8,kVA,2418,No,2025-07-06T00:00:00Z
EQP-0072,Cliente 032,CLI-032,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-274944,28/04/24,Obra,2,Ushuaia,Operativo,Diésel,300,A,130,Sí,2024-04-28T00:00:00Z
EQP-0012,Cliente 030,CLI-030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-128251,04/06/25,Depósito,2,Ushuaia,Operativo,Diésel,95,kW,4636,No,2025-04-06T00:00:00Z
EQP-0017,Cliente 049,CLI-049,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,KÄHDS9-647577,05/04/25,Sucursal,2,Ushuaia,Operativo,Mixto,180,bar,null,Sí,2025-05-04T00:00:00Z
EQP-0091,Cliente 044,CLI-044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,KÄHDS9-220674,18/02/25,Obra,2,Río Grande,Operativo,Mixto,180,bar,317,Sí,2025-02-18T00:00:00Z
EQP-0099,Cliente 005,CLI-005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-515008,22/08/24,Obra,4,Tolhuin,en_mantenimiento,Diésel,300,A,4353,No,2024-08-22T00:00:00Z
EQP-0054,Cliente 033,CLI-033,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-358930,24/04/24,Sucursal,3,Río Grande,Operativo,Diésel,300,A,716,Sí,2024-04-24T00:00:00Z
EQP-0083,Cliente 005,CLI-005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-251878,31/07/25,Planta,5,Tolhuin,servicio,Diésel,300,A,3974,No,2025-07-31T00:00:00Z
EQP-0084,Cliente 044,CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-273532,21/12/24,Oficina,3,Río Grande,Mantenimiento,Diésel,300,A,4537,No,2024-12-21T00:00:00Z
EQP-0009,Cliente 009,CLI-009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),GEGUAR-805086,12/08/25,Oficina,5,Ushuaia,Operativo,Gas,10,kVA,3140,No,2025-12-08T00:00:00Z
EQP-0034,Cliente 044,CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-523570,15/02/25,Obra,1,Río Grande,Operativo,Diésel,300,A,null,No,2025-02-15T00:00:00Z
EQP-0068,Cliente 049,CLI-049,Motor Cummins,Cummins,QSB 6.7,CUQSB6-830406,26/08/24,Oficina,3,Río Grande,Operativo,Diésel,180,kW,3755,No,2024-08-26T00:00:00Z
EQP-0029,Cliente 013,CLI-013,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GEGUAR-905497,04/09/24,Depósito,5,Tolhuin,Operativo,Gas,10,kVA,1672,No,2024-04-09T00:00:00Z
EQP-0010,Cliente 030,CLI-030,Motor Cummins,Cummins,QSB 6.7,CUQSB6-213632,09/08/25,Taller,4,Río Grande,Operativo,Diésel,150,kW,256,Sí,2025-09-08T00:00:00Z
EQP-0077,Cliente 044,CLI-044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),GEGUAR-275399,12/08/25,Planta,3,Río Grande,Mantenimiento,Gas,10,kVA,3163,No,2025-12-08T00:00:00Z
EQP-0070,Cliente 044,CLI-044,Motor Cummins,Cummins,QSB 4.5,CUQSB4-590025,06/09/24,Obra,5,Ushuaia,Mantenimiento,Diésel,150,kW,664,Sí,2024-06-09T00:00:00Z
EQP-0016,Cliente 049,CLI-049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-555968,26/10/24,Oficina,5,Ushuaia,Operativo,Diésel,300,A,1122,No,2024-10-26T00:00:00Z
EQP-0045,Cliente 005,CLI-005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-762301,30/11/24,Sucursal,3,Río Grande,Mantenimiento,Diésel,95,kW,389,Sí,2024-11-30T00:00:00Z
EQP-0087,Cliente 038,CLI-038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-436199,16/07/24,Oficina,1,Tolhuin,Operativo,Diésel,95,kW,null,No,2024-07-16T00:00:00Z
EQP-0079,Cliente 014,CLI-014,Motor Cummins,Cummins,QSB 6.7,CUQSB6-925656,18/05/25,Taller,2,Tolhuin,en operación,Diésel,150,kW,869,Sí,2025-05-18T00:00:00Z
EQP-0085,Cliente 001,CLI-001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GEGUAR-662288,22/03/25,Depósito,3,Tolhuin,en operación,Gas,13,kVA,4630,No,2025-03-22T00:00:00Z
EQP-0073,Cliente 044,CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-226108,28/04/25,Obra,4,Río Grande,Operativo,Diésel,300,A,621,Sí,2025-04-28T00:00:00Z
