servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Ubicacion_cliente;Tecnicos_Bigtools;Horas_servicio_HHMM;Inicio_Service;Fin_service;Año
SV-000582;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/4/2024 21:00;3/4/2024 21:00;0,59;M. Ruiz;OK;sin_repuestos;16520;0;16520;Deposito 4 - Rio Grande;Rio Grande;Tecnico 3;0h 35min;martes, 2 de abril de 2024;miércoles, 3 de abril de 2024;2024
SV-000633;EQP-0058;CLI-008;Cliente 008;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/8/2023 21:00;31/8/2023 21:00;0,44;S. López;OK;sin_repuestos;12320;0;12320;Oficina 5 - Rio Grande;Rio Grande;Tecnico 5;0h 26min;jueves, 31 de agosto de 2023;jueves, 31 de agosto de 2023;2023
SV-000635;EQP-0058;CLI-008;Cliente 008;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;20/2/2025 21:00;21/2/2025 21:00;0,45;M. Ruiz;OK;sin_repuestos;12600;0;12600;Oficina 5 - Rio Grande;Rio Grande;Tecnico 3;0h 27min;jueves, 20 de febrero de 2025;viernes, 21 de febrero de 2025;2025
SV-000844;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2021 21:00;27/12/2021 21:00;0,52;L. Gómez;OK;sin_repuestos;14560;0;14560;Taller 5 - Rio Grande;Rio Grande;Tecnico 2;0h 31min;domingo, 26 de diciembre de 2021;lunes, 27 de diciembre de 2021;2021
SV-000849;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/6/2023 21:00;28/6/2023 21:00;0,5;L. Gómez;OK;sin_repuestos;14000;0;14000;Taller 5 - Rio Grande;Rio Grande;Tecnico 2;0h 30min;martes, 27 de junio de 2023;miércoles, 28 de junio de 2023;2023
SV-000850;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2023 21:00;27/12/2023 21:00;0,5;R. Soto;OK;sin_repuestos;14000;0;14000;Taller 5 - Rio Grande;Rio Grande;Tecnico 4;0h 30min;martes, 26 de diciembre de 2023;miércoles, 27 de diciembre de 2023;2023
SV-000853;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/7/2025 21:00;6/7/2025 21:00;0,54;A. Torres;OK;sin_repuestos;15120;0;15120;Taller 5 - Rio Grande;Rio Grande;Tecnico 6;0h 32min;sábado, 5 de julio de 2025;domingo, 6 de julio de 2025;2025
SV-000854;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;22/9/2025 21:00;23/9/2025 21:00;0,26;M. Ruiz;OK;sin_repuestos;7280;0;7280;Taller 5 - Rio Grande;Rio Grande;Tecnico 3;0h 16min;lunes, 22 de septiembre de 2025;martes, 23 de septiembre de 2025;2025
SV-001086;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/12/2021 21:00;25/12/2021 21:00;0,5;M. Ruiz;OK;sin_repuestos;14000;0;14000;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 30min;viernes, 24 de diciembre de 2021;sábado, 25 de diciembre de 2021;2021
SV-001087;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/3/2022 21:00;28/3/2022 21:00;0,55;S. López;OK;sin_repuestos;15400;0;15400;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 5;0h 33min;domingo, 27 de marzo de 2022;lunes, 28 de marzo de 2022;2022
SV-001089;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2022 21:00;31/12/2022 21:00;0,57;J. Pérez;OK;sin_repuestos;15960;0;15960;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 34min;sábado, 31 de diciembre de 2022;sábado, 31 de diciembre de 2022;2022
SV-001091;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2023 21:00;25/6/2023 21:00;0,45;A. Torres;OK;sin_repuestos;12600;0;12600;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 27min;sábado, 24 de junio de 2023;domingo, 25 de junio de 2023;2023
SV-001092;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/1/2024 21:00;7/1/2024 21:00;0,59;R. Soto;OK;sin_repuestos;16520;0;16520;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;sábado, 6 de enero de 2024;domingo, 7 de enero de 2024;2024
SV-001094;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2024 21:00;25/9/2024 21:00;0,56;A. Torres;OK;sin_repuestos;15680;0;15680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 34min;martes, 24 de septiembre de 2024;miércoles, 25 de septiembre de 2024;2024
SV-001096;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/6/2025 21:00;30/6/2025 21:00;0,45;R. Soto;OK;sin_repuestos;12600;0;12600;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 27min;domingo, 29 de junio de 2025;lunes, 30 de junio de 2025;2025
SV-001097;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/9/2025 21:00;28/9/2025 21:00;0,31;M. Gómez;OK;sin_repuestos;8680;0;8680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 7;0h 19min;sábado, 27 de septiembre de 2025;domingo, 28 de septiembre de 2025;2025
SV-001153;EQP-0018;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/3/2023 21:00;24/3/2023 21:00;0,25;J. Pérez;OK;sin_repuestos;7000;0;7000;Obra 3 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;jueves, 23 de marzo de 2023;viernes, 24 de marzo de 2023;2023
SV-001157;EQP-0018;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/6/2024 21:00;1/7/2024 21:00;1,5;M. Gómez;OK;sin_repuestos;14840;0;14840;Obra 3 - Rio Grande;Rio Grande;Tecnico 7;1h 30min;domingo, 30 de junio de 2024;lunes, 1 de julio de 2024;2024
SV-001524;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/7/2023 21:00;6/7/2023 21:00;0,39;J. Pérez;OK;sin_repuestos;10920;0;10920;Obra 5 - Rio Grande;Rio Grande;Tecnico 1;0h 23min;miércoles, 5 de julio de 2023;jueves, 6 de julio de 2023;2023
SV-001525;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/9/2023 21:00;27/9/2023 21:00;0,59;R. Soto;OK;sin_repuestos;16520;0;16520;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;martes, 26 de septiembre de 2023;miércoles, 27 de septiembre de 2023;2023
SV-001526;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2023 21:00;27/12/2023 21:00;0,63;S. López;OK;sin_repuestos;17640;0;17640;Obra 5 - Rio Grande;Rio Grande;Tecnico 5;0h 38min;martes, 26 de diciembre de 2023;miércoles, 27 de diciembre de 2023;2023
SV-001689;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2023 21:00;25/6/2023 21:00;0,55;R. Soto;OK;sin_repuestos;15400;0;15400;Deposito 2 - Rio Grande;Rio Grande;Tecnico 4;0h 33min;sábado, 24 de junio de 2023;domingo, 25 de junio de 2023;2023
SV-001691;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/12/2023 21:00;30/12/2023 21:00;0,59;R. Soto;OK;sin_repuestos;16520;0;16520;Deposito 2 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;viernes, 29 de diciembre de 2023;sábado, 30 de diciembre de 2023;2023
SV-001692;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/4/2024 21:00;4/4/2024 21:00;0,46;J. Pérez;OK;sin_repuestos;12880;0;12880;Deposito 2 - Rio Grande;Rio Grande;Tecnico 1;0h 28min;miércoles, 3 de abril de 2024;jueves, 4 de abril de 2024;2024
SV-001886;EQP-0093;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/12/2021 21:00;29/12/2021 21:00;0,58;S. López;OK;sin_repuestos;16240;0;16240;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 5;0h 35min;martes, 28 de diciembre de 2021;miércoles, 29 de diciembre de 2021;2021
SV-001896;EQP-0093;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/12/2024 21:00;31/12/2024 21:00;0,4;A. Torres;OK;sin_repuestos;11200;0;11200;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 6;0h 24min;lunes, 30 de diciembre de 2024;martes, 31 de diciembre de 2024;2024
SV-002105;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;9/4/2024 21:00;4/10/2024 21:00;0,56;M. Ruiz;OK;sin_repuestos;15680;0;15680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 34min;martes, 9 de abril de 2024;viernes, 4 de octubre de 2024;2024
SV-002106;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/12/2024 21:00;26/12/2024 21:00;0,25;R. Soto;OK;sin_repuestos;7000;0;7000;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 15min;miércoles, 25 de diciembre de 2024;jueves, 26 de diciembre de 2024;2024
SV-002107;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/3/2025 21:00;24/3/2025 21:00;0,49;J. Pérez;OK;sin_repuestos;13720;0;13720;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 29min;domingo, 23 de marzo de 2025;lunes, 24 de marzo de 2025;2025
SV-002108;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/9/2025 21:00;26/9/2025 21:00;0,37;A. Torres;OK;sin_repuestos;10360;0;10360;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 22min;jueves, 25 de septiembre de 2025;viernes, 26 de septiembre de 2025;2025
SV-002172;EQP-0006;CLI-036;Cliente 036;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/8/2024 21:00;27/8/2024 21:00;0,25;S. López;OK;sin_repuestos;7000;0;7000;Planta 1 - Rio Grande;Rio Grande;Tecnico 5;0h 15min;lunes, 26 de agosto de 2024;martes, 27 de agosto de 2024;2024
SV-002174;EQP-0006;CLI-036;Cliente 036;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/2/2025 21:00;1/3/2025 21:00;0,75;R. Soto;OK;sin_repuestos;21000;0;21000;Planta 1 - Rio Grande;Rio Grande;Tecnico 4;0h 45min;viernes, 28 de febrero de 2025;sábado, 1 de marzo de 2025;2025
SV-002704;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/7/2023 21:00;3/7/2023 21:00;0,29;J. Pérez;OK;sin_repuestos;8120;0;8120;Oficina 1 - Rio Grande;Rio Grande;Tecnico 1;0h 17min;domingo, 2 de julio de 2023;lunes, 3 de julio de 2023;2023
SV-002707;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/12/2024 21:00;24/12/2024 21:00;0,25;J. Pérez;OK;sin_repuestos;7000;0;7000;Oficina 1 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;lunes, 23 de diciembre de 2024;martes, 24 de diciembre de 2024;2024
SV-002709;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2025 21:00;25/6/2025 21:00;0,49;R. Soto;OK;sin_repuestos;13720;0;13720;Oficina 1 - Rio Grande;Rio Grande;Tecnico 4;0h 29min;martes, 24 de junio de 2025;miércoles, 25 de junio de 2025;2025
SV-002848;EQP-0098;CLI-039;Cliente 039;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;4/1/2024 21:00;5/1/2024 21:00;0,51;S. López;OK;sin_repuestos;14280;0;14280;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 5;0h 31min;jueves, 4 de enero de 2024;viernes, 5 de enero de 2024;2024
SV-002850;EQP-0098;CLI-039;Cliente 039;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/7/2024 21:00;4/7/2024 21:00;0,46;M. Ruiz;OK;sin_repuestos;12880;0;12880;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 28min;miércoles, 3 de julio de 2024;jueves, 4 de julio de 2024;2024
SV-002916;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/3/2022 21:00;28/3/2022 21:00;0,7;R. Soto;OK;sin_repuestos;19600;0;19600;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 42min;domingo, 27 de marzo de 2022;lunes, 28 de marzo de 2022;2022
SV-002917;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2022 21:00;25/6/2022 21:00;0,5;R. Soto;OK;sin_repuestos;14000;0;14000;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 30min;viernes, 24 de junio de 2022;sábado, 25 de junio de 2022;2022
SV-002998;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2022 21:00;1/1/2023 21:00;0,33;S. López;OK;sin_repuestos;9240;0;9240;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 5;0h 20min;sábado, 31 de diciembre de 2022;domingo, 1 de enero de 2023;2022
SV-003000;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/3/2023 21:00;3/7/2023 21:00;0,63;L. Gómez;OK;sin_repuestos;17640;0;17640;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 2;0h 38min;lunes, 6 de marzo de 2023;lunes, 3 de julio de 2023;2023
SV-003001;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/12/2023 21:00;26/12/2023 21:00;0,53;J. Pérez;OK;sin_repuestos;14840;0;14840;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 1;0h 32min;lunes, 25 de diciembre de 2023;martes, 26 de diciembre de 2023;2023
SV-003111;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2021 21:00;1/1/2022 21:00;0,3;M. Gómez;OK;sin_repuestos;8400;0;8400;Obra 1 - Rio Grande;Rio Grande;Tecnico 7;0h 18min;viernes, 31 de diciembre de 2021;sábado, 1 de enero de 2022;2021
SV-003113;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/6/2022 21:00;26/6/2022 21:00;0,48;J. Pérez;OK;sin_repuestos;13440;0;13440;Obra 1 - Rio Grande;Rio Grande;Tecnico 1;0h 29min;domingo, 26 de junio de 2022;domingo, 26 de junio de 2022;2022
SV-003115;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/10/2023 21:00;7/10/2023 21:00;0,53;M. Gómez;OK;sin_repuestos;14840;0;14840;Obra 1 - Rio Grande;Rio Grande;Tecnico 7;0h 32min;viernes, 6 de octubre de 2023;sábado, 7 de octubre de 2023;2023
SV-003116;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/7/2024 21:00;4/7/2024 21:00;0,25;R. Soto;OK;sin_repuestos;7000;0;7000;Obra 1 - Rio Grande;Rio Grande;Tecnico 4;0h 15min;miércoles, 3 de julio de 2024;jueves, 4 de julio de 2024;2024
SV-003119;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/3/2025 21:00;31/3/2025 21:00;0,55;A. Torres;OK;sin_repuestos;15400;0;15400;Obra 1 - Rio Grande;Rio Grande;Tecnico 6;0h 33min;domingo, 30 de marzo de 2025;lunes, 31 de marzo de 2025;2025
SV-003120;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/6/2025 21:00;1/7/2025 21:00;0,38;R. Soto;OK;sin_repuestos;10640;0;10640;Obra 1 - Rio Grande;Rio Grande;Tecnico 4;0h 23min;lunes, 30 de junio de 2025;martes, 1 de julio de 2025;2025
SV-003218;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/10/2022 21:00;26/10/2022 21:00;0,66;J. Pérez;OK;sin_repuestos;18480;0;18480;Taller 1 - Rio Grande;Rio Grande;Tecnico 1;0h 40min;martes, 25 de octubre de 2022;miércoles, 26 de octubre de 2022;2022
SV-003219;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/1/2023 21:00;25/1/2023 21:00;0,45;A. Torres;OK;sin_repuestos;12600;0;12600;Taller 1 - Rio Grande;Rio Grande;Tecnico 6;0h 27min;martes, 24 de enero de 2023;miércoles, 25 de enero de 2023;2023
SV-003221;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/11/2023 21:00;2/11/2023 21:00;0,25;J. Pérez;OK;sin_repuestos;7000;0;7000;Taller 1 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;miércoles, 1 de noviembre de 2023;jueves, 2 de noviembre de 2023;2023
SV-003222;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/1/2024 21:00;24/1/2024 21:00;1,5;R. Soto;OK;sin_repuestos;14000;0;14000;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;1h 30min;martes, 23 de enero de 2024;miércoles, 24 de enero de 2024;2024
SV-003223;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/4/2024 21:00;30/4/2024 21:00;0,68;R. Soto;OK;sin_repuestos;19040;0;19040;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;0h 41min;lunes, 29 de abril de 2024;martes, 30 de abril de 2024;2024
SV-003224;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/7/2024 21:00;29/7/2024 21:00;0,58;M. Ruiz;OK;sin_repuestos;16240;0;16240;Taller 1 - Rio Grande;Rio Grande;Tecnico 3;0h 35min;domingo, 28 de julio de 2024;lunes, 29 de julio de 2024;2024
SV-003225;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/11/2024 21:00;4/11/2024 21:00;0,33;A. Torres;OK;sin_repuestos;9240;0;9240;Taller 1 - Rio Grande;Rio Grande;Tecnico 6;0h 20min;domingo, 3 de noviembre de 2024;lunes, 4 de noviembre de 2024;2024
SV-003226;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/5/2025 21:00;6/5/2025 21:00;1,5;S. López;OK;sin_repuestos;16240;0;16240;Taller 1 - Rio Grande;Rio Grande;Tecnico 5;1h 30min;lunes, 5 de mayo de 2025;martes, 6 de mayo de 2025;2025
SV-003227;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/7/2025 21:00;1/8/2025 21:00;0,57;R. Soto;OK;sin_repuestos;15960;0;15960;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;0h 34min;jueves, 31 de julio de 2025;viernes, 1 de agosto de 2025;2025
