falla_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;fecha_deteccion;descripcion_falla;gravedad_1a5;causa_raiz;fecha_correccion;servicio_relacionado_id;ubicacion
FD-000026;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2023 21:00;Sobretemperatura por radiador obstruido;1;Ajuste incorrecto;4/1/2023 21:00;SV-001485;Obra 5 - Río Grande
FD-000023;EQP-0028;CLI-026;Cliente 026;Motor Cummins;Cummins;QSB 4.5;26/1/2023 21:00;Fallo sensor de presión de aceite;3;Componente defectuoso;13/2/2023 21:00;SV-001326;Planta 5 - Tolhuin
FD-000024;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;13/1/2022 21:00;Desgaste de cepillos del alternador;4;Sobrecarga puntual;15/1/2022 21:00;;Obra 5 - Ushuaia
FD-000108;EQP-0016;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;18/7/2024 21:00;Dificultad de arranque (batería baja);4;Sobrecarga puntual;23/7/2024 21:00;SV-004465;Oficina 5 - Tolhuin
FD-000063;EQP-0077;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);5/4/2025 21:00;Fallo en bujías;3;Sobrecarga puntual;20/4/2025 21:00;;Planta 3 - Tolhuin
FD-000074;EQP-0089;CLI-044;Cliente 044;Motor Cummins;Cummins;QSB 4.5;18/3/2023 21:00;Temperatura elevada del refrigerante;3;Ajuste incorrecto;20/3/2023 21:00;SV-003810;Taller 3 - Tolhuin
FD-000103;EQP-0080;CLI-049;Cliente 049;Motor Cummins;Cummins;QSB 6.7;10/9/2023 21:00;Fallo sensor de presión de aceite;3;Desgaste natural;19/9/2023 21:00;;Depósito 3 - Ushuaia
FD-000011;EQP-0058;CLI-008;Cliente 008;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;23/10/2024 21:00;Dificultad de arranque (batería baja);5;Componente defectuoso;2/11/2024 21:00;;Oficina 5 - Ushuaia
FD-000037;EQP-0037;CLI-032;Cliente 032;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);24/1/2025 21:00;;4;Componente defectuoso;11/2/2025 21:00;;Obra 3 - Ushuaia
FD-000106;EQP-0011;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;13/4/2023 21:00;Dificultad de arranque (batería baja);3;Componente defectuoso;22/4/2023 21:00;;Obra 5 - Río Grande
FD-000087;EQP-0042;CLI-048;Cliente 048;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;26/8/2023 21:00;Desgaste de cepillos del alternador;3;Desgaste natural;27/8/2023 21:00;SV-004178;Oficina 1 - Ushuaia
FD-000097;EQP-0031;CLI-049;Cliente 049;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;23/5/2025 21:00;Quemador no enciende;5;Componente defectuoso;12/6/2025 21:00;SV-004681;Oficina 3 - Río Grande
FD-000041;EQP-0024;CLI-036;Cliente 036;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;29/7/2023 21:00;Sobrecalentamiento por filtro obstruido;5;Sobrecarga puntual;4/8/2023 21:00;SV-002377;Planta 5 - Tolhuin
FD-000056;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;20/3/2024 21:00;Fuga en conducto de combustible;1;Ajuste incorrecto;20/3/2024 21:00;SV-002923;Obra 5 - Ushuaia
FD-000092;EQP-0060;CLI-049;Cliente 049;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);13/4/2025 21:00;Fallo en bujías;3;Desgaste natural;14/4/2025 21:00;;Obra 3 - Ushuaia
FD-000060;EQP-0077;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);27/4/2023 21:00;Sobrevelocidad detectada;1;Falta de limpieza;14/5/2023 21:00;;Planta 3 - Tolhuin
FD-000030;EQP-0043;CLI-030;Cliente 030;Motor Cummins;Cummins;QSB 4.5;29/9/2022 21:00;Fallo sensor de presión de aceite;3;Ajuste incorrecto;4/10/2022 21:00;;Depósito 3 - Río Grande
FD-000084;EQP-0096;CLI-048;Cliente 048;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;8/12/2024 21:00;Válvula de rebose fuera de ajuste;3;Componente defectuoso;14/12/2024 21:00;SV-004294;Planta 5 - Tolhuin
FD-000040;EQP-0013;CLI-036;Cliente 036;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;25/5/2022 21:00;Pérdida de presión en manguera;5;Sobrecarga puntual;25/5/2022 21:00;SV-002273;Oficina 1 - Tolhuin
FD-000082;EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;14/11/2023 21:00;Desgaste de cepillos del alternador;4;Falta de limpieza;28/11/2023 21:00;;Oficina 3 - Río Grande
FD-000089;EQP-0063;CLI-048;Cliente 048;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;3/7/2022 21:00;Desgaste de cepillos del alternador;3;Ajuste incorrecto;20/4/2022 21:00;;Sucursal 4 - Tolhuin
FD-000033;EQP-0057;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;19/9/2025 21:00;Fuga en conducto de combustible;1;Componente defectuoso;21/9/2025 21:00;SV-001814;Planta 4 - Tolhuin
FD-000014;EQP-0029;CLI-013;Cliente 013;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);25/6/2025 21:00;Batería sin carga;1;Falta de limpieza;29/6/2025 21:00;;Depósito 5 - Ushuaia
FD-000051;EQP-0064;CLI-038;Cliente 038;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;11/8/2025 21:00;Sobrecalentamiento por filtro obstruido;2;Componente defectuoso;30/8/2025 21:00;SV-002523;Depósito 4 - Ushuaia
FD-000111;EQP-0059;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/1/2024 21:00;Fuga en conducto de combustible;2;Falta de limpieza;30/1/2024 21:00;SV-004728;Oficina 1 - Ushuaia
FD-000070;EQP-0097;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;9/9/2024 21:00;Quemador no enciende;5;Desgaste natural;24/9/2024 21:00;SV-004061;Sucursal 5 - Río Grande
FD-000022;EQP-0028;CLI-026;Cliente 026;Motor Cummins;Cummins;QSB 4.5;22/3/2025 21:00;Temperatura elevada del refrigerante;4;Sobrecarga puntual;3/4/2025 21:00;;Planta 5 - Ushuaia
FD-000048;EQP-0030;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;23/3/2025 21:00;Fallo sensor de presión de aceite;2;Falta de limpieza;4/4/2025 21:00;;Taller 4 - Ushuaia
FD-000039;EQP-0019;CLI-036;Cliente 036;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);10/4/2024 21:00;Sobrevelocidad detectada;5;Falta de limpieza;28/4/2024 21:00;;Planta 1 - Río Grande
FD-000101;EQP-0080;CLI-049;Cliente 049;Motor Cummins;Cummins;QSB 6.7;5/7/2022 21:00;Fallo sensor de presión de aceite;2;Componente defectuoso;17/7/2022 21:00;SV-004992;Depósito 3 - Ushuaia
FD-000054;EQP-0046;CLI-039;Cliente 039;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;12/8/2025 21:00;Pérdida de presión en manguera;1;Falta de limpieza;24/8/2025 21:00;SV-002777;Depósito 3 - Ushuaia
FD-000096;EQP-0017;CLI-049;Cliente 049;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;25/10/2024 21:00;Válvula de rebose fuera de ajuste;5;Ajuste incorrecto;11/11/2024 21:00;SV-004556;Sucursal 2 - Ushuaia
FD-000083;EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;8/9/2025 21:00;Fuga en conducto de combustible;4;Componente defectuoso;24/9/2025 21:00;SV-003983;Taller 2 - Río Grande
FD-000061;EQP-0077;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);19/4/2022 21:00;Sobrevelocidad detectada;4;Ajuste incorrecto;29/4/2022 21:00;;Planta 3 - Río Grande
FD-000064;EQP-0039;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;5/10/2024 21:00;Válvula de rebose fuera de ajuste;3;Ajuste incorrecto;5/10/2024 21:00;SV-003259;Planta 2 - Ushuaia
FD-000099;EQP-0068;CLI-049;Cliente 049;Motor Cummins;Cummins;QSB 6.7;6/9/2024 21:00;Baja presión de combustible;4;Sobrecarga puntual;6/9/2024 21:00;SV-004860;Oficina 3 - Tolhuin
FD-000062;EQP-0077;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);7/3/2022 21:00;;2;Falta de limpieza;25/3/2022 21:00;;Planta 3 - Ushuaia
FD-000080;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;31/12/2022 21:00;;3;Componente defectuoso;6/1/2023 21:00;;Obra 1 - Río Grande
FD-000031;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;15/5/2023 21:00;Dificultad de arranque (batería baja);4;Sobrecarga puntual;18/5/2023 21:00;;Depósito 2 - Tolhuin
FD-000076;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/2/2022 21:00;Fuga en conducto de combustible;1;Ajuste incorrecto;28/2/2022 21:00;;Sucursal 4 - Ushuaia
FD-000046;EQP-0007;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 4.5;13/1/2022 21:00;Inyectores con suciedad;1;Desgaste natural;18/1/2022 21:00;;Taller 4 - Tolhuin
FD-000069;EQP-0094;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;27/5/2022 21:00;Sobrecalentamiento por filtro obstruido;3;Falta de limpieza;12/6/2022 21:00;;Taller 2 - Río Grande
FD-000004;EQP-0067;CLI-005;Cliente 005;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;26/10/2024 21:00;Sobrecalentamiento por filtro obstruido;3;Sobrecarga puntual;9/11/2024 21:00;SV-000324;Sucursal 3 - Ushuaia
FD-000066;EQP-0053;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;14/4/2025 21:00;Pérdida de presión en manguera;5;Falta de limpieza;19/4/2025 21:00;;Oficina 2 - Tolhuin
FD-000105;EQP-0004;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/8/2024 21:00;Sobretemperatura por radiador obstruido;3;Componente defectuoso;26/8/2024 21:00;;Planta 4 - Río Grande
FD-000067;EQP-0053;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;11/8/2025 21:00;Pérdida de presión en manguera;3;Falta de limpieza;17/8/2025 21:00;;Oficina 2 - Ushuaia
FD-000058;EQP-0062;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);8/9/2024 21:00;Sobrevelocidad detectada;5;Falta de limpieza;16/9/2024 21:00;;Obra 1 - Río Grande
FD-000059;EQP-0062;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);29/4/2025 21:00;Fallo en bujías;2;Sobrecarga puntual;9/5/2025 21:00;SV-003467;Obra 1 - Río Grande
FD-000002;EQP-0085;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);5/9/2022 21:00;Fallo en bujías;1;Componente defectuoso;22/9/2022 21:00;SV-000116;Depósito 3 - Tolhuin
FD-000018;EQP-0026;CLI-026;Cliente 026;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;19/6/2025 21:00;Pérdida de presión en manguera;4;Sobrecarga puntual;28/6/2025 21:00;SV-001248;Taller 4 - Tolhuin
FD-000044;EQP-0002;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;7/4/2024 21:00;Temperatura elevada del refrigerante;2;Sobrecarga puntual;26/4/2024 21:00;SV-002144;Sucursal 4 - Tolhuin
FD-000038;EQP-0100;CLI-032;Cliente 032;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;2/11/2023 21:00;Válvula de rebose fuera de ajuste;5;Ajuste incorrecto;14/11/2023 21:00;SV-002027;Planta 2 - Río Grande
FD-000007;EQP-0041;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;4/12/2022 21:00;Dificultad de arranque (batería baja);5;Componente defectuoso;23/12/2022 21:00;SV-000224;Taller 2 - Ushuaia
FD-000075;EQP-0089;CLI-044;Cliente 044;Motor Cummins;Cummins;QSB 4.5;2/12/2022 21:00;Baja presión de combustible;3;Desgaste natural;16/12/2022 21:00;SV-003799;Taller 3 - Tolhuin
FD-000021;EQP-0032;CLI-026;Cliente 026;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;18/10/2023 21:00;Válvula de rebose fuera de ajuste;4;Sobrecarga puntual;1/11/2023 21:00;SV-001419;Planta 3 - Río Grande
FD-000107;EQP-0011;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;27/11/2022 21:00;Dificultad de arranque (batería baja);5;Desgaste natural;14/12/2022 21:00;SV-004426;Obra 5 - Río Grande
FD-000052;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;18/12/2023 21:00;Desgaste de cepillos del alternador;3;Falta de limpieza;24/12/2023 21:00;;Oficina 1 - Tolhuin
FD-000110;EQP-0016;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;16/4/2023 21:00;Sobretemperatura por radiador obstruido;3;Desgaste natural;5/5/2023 21:00;SV-004487;Oficina 5 - Río Grande
FD-000102;EQP-0080;CLI-049;Cliente 049;Motor Cummins;Cummins;QSB 6.7;19/4/2024 21:00;Temperatura elevada del refrigerante;4;Ajuste incorrecto;7/5/2024 21:00;;Depósito 3 - Ushuaia
FD-000010;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;27/11/2022 21:00;Dificultad de arranque (batería baja);4;Falta de limpieza;30/11/2022 21:00;SV-000480;Planta 5 - Ushuaia
FD-000088;EQP-0042;CLI-048;Cliente 048;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;18/5/2024 21:00;Fuga en conducto de combustible;2;Componente defectuoso;6/6/2024 21:00;;Oficina 1 - Ushuaia
FD-000098;EQP-0031;CLI-049;Cliente 049;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;18/2/2025 21:00;Pérdida de presión en manguera;2;Ajuste incorrecto;26/2/2025 21:00;SV-004671;Oficina 3 - Río Grande
FD-000094;EQP-0069;CLI-049;Cliente 049;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);20/8/2025 21:00;Fallo en bujías;4;Componente defectuoso;5/9/2025 21:00;SV-004889;Depósito 5 - Tolhuin
FD-000035;EQP-0057;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;21/3/2025 21:00;;5;Desgaste natural;23/3/2025 21:00;SV-001762;Planta 4 - Tolhuin
FD-000013;EQP-0029;CLI-013;Cliente 013;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);1/2/2025 21:00;Batería sin carga;2;Ajuste incorrecto;15/2/2025 21:00;;Depósito 5 - Río Grande
FD-000090;EQP-0060;CLI-049;Cliente 049;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);24/7/2025 21:00;Fallo en bujías;2;Componente defectuoso;4/8/2025 21:00;;Obra 3 - Tolhuin
FD-000003;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;13/6/2022 21:00;Sobretemperatura por radiador obstruido;3;Sobrecarga puntual;2/7/2022 21:00;;Planta 4 - Río Grande
FD-000100;EQP-0075;CLI-049;Cliente 049;Motor Cummins;Cummins;QSB 4.5;6/4/2024 21:00;Inyectores con suciedad;5;Componente defectuoso;19/4/2024 21:00;;Oficina 2 - Río Grande
FD-000049;EQP-0049;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;21/1/2025 21:00;Temperatura elevada del refrigerante;2;Desgaste natural;24/1/2025 21:00;;Sucursal 5 - Río Grande
FD-000104;EQP-0004;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;28/7/2024 21:00;Dificultad de arranque (batería baja);3;Componente defectuoso;30/7/2024 21:00;;Planta 4 - Tolhuin
FD-000006;EQP-0041;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;20/3/2024 21:00;Dificultad de arranque (batería baja);1;Desgaste natural;28/3/2024 21:00;SV-000236;Taller 2 - Ushuaia
FD-000081;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;25/3/2023 21:00;Fuga en conducto de combustible;3;Ajuste incorrecto;5/4/2023 21:00;;Taller 1 - Río Grande
FD-000043;EQP-0002;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;9/1/2022 21:00;Baja presión de combustible;4;Falta de limpieza;27/1/2022 21:00;;Sucursal 4 - Tolhuin
FD-000001;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);17/5/2025 21:00;Bajo voltaje de salida;4;Ajuste incorrecto;18/5/2025 21:00;;Planta 3 - Ushuaia
FD-000028;EQP-0043;CLI-030;Cliente 030;Motor Cummins;Cummins;QSB 4.5;6/2/2022 21:00;;4;Falta de limpieza;6/2/2022 21:00;;Depósito 3 - Río Grande
FD-000025;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;16/7/2025 21:00;Dificultad de arranque (batería baja);3;Componente defectuoso;18/7/2025 21:00;;Obra 5 - Tolhuin
FD-000019;EQP-0032;CLI-026;Cliente 026;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;21/2/2023 21:00;Quemador no enciende;3;Sobrecarga puntual;4/3/2023 21:00;;Planta 3 - Ushuaia
FD-000036;EQP-0093;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;11/3/2023 21:00;Fuga en conducto de combustible;4;Componente defectuoso;16/3/2023 21:00;SV-001889;Sucursal 4 - Ushuaia
