servicio_id,inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,plan_id,actividad,fecha_inicio,fecha_fin,horas_servicio,tecnico,resultado,repuestos_usados,costo_manodeobra_ars,costo_repuestos_ars,costo_total_ars,ubicacion
SV-000033,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-008,Verificación de sistema de arranque automático,10/04/2025,10/05/2025,"0,82",M. Gómez,Reparado,sin_repuestos,24600,0,24600,Planta 3 - Tolhuin
SV-000034,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-009,Ensayo general y actualización de firmware,10/02/2024,10/03/2024,"0,88",A. Torres,OK,sin_repuestos,26400,0,26400,Planta 3 - Ushuaia
SV-000035,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,09/01/2022,09/01/2022,"1,68",J. Pérez,Reparado,aceite:29551; filtro_aceite:17771,47040,47322,94362,Planta 4 - Tolhuin
SV-000036,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,29/08/2023,30/08/2023,"1,87",M. Gómez,Reparado,aceite:22030; filtro_aceite:11618,52360,33648,86008,Planta 4 - Río Grande
SV-000037,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,12/02/2023,12/03/2023,"2,03",J. Pérez,OK,aceite:15241; filtro_aceite:11029,56840,26270,83110,Planta 4 - Ushuaia
SV-000038,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,06/01/2024,06/02/2024,"1,49",L. Gómez,OK,aceite:21179; filtro_aceite:11918,41720,33097,74817,Planta 4 - Río Grande
SV-000039,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,09/02/2024,09/03/2024,"2,57",R. Soto,Reparado,aceite:34961; filtro_aceite:12531,71960,47492,119452,Planta 4 - Ushuaia
SV-000040,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,23/11/2024,24/11/2024,"2,24",L. Gómez,OK,aceite:25795; filtro_aceite:8787,62720,34582,97302,Planta 4 - Ushuaia
SV-000041,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,23/02/2025,24/02/2025,"1,92",A. Torres,OK,aceite:21220; filtro_aceite:12607,53760,33827,87587,Planta 4 - Ushuaia
SV-000042,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-001,Cambio de aceite de motor y filtro,28/08/2025,29/08/2025,"1,83",A. Torres,Observaciones,aceite:31498; filtro_aceite:15158,51240,46656,97896,Planta 4 - Tolhuin
SV-000043,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-002,Reemplazo de filtro de aire,03/02/2022,03/03/2022,"0,79",M. Gómez,Observaciones,filtro_aire:16479,22120,16479,38599,Planta 4 - Tolhuin
SV-000044,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-002,Reemplazo de filtro de aire,09/05/2022,09/06/2022,"1,11",J. Pérez,Reparado,filtro_aire:16726,31080,16726,47806,Planta 4 - Ushuaia
SV-000045,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-002,Reemplazo de filtro de aire,26/02/2023,27/02/2023,"1,13",S. López,OK,filtro_aire:25009,31640,25009,56649,Planta 4 - Río Grande
SV-000046,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-002,Reemplazo de filtro de aire,03/07/2024,08/03/2024,"1,01",S. López,OK,filtro_aire:23942,28280,23942,52222,Planta 4 - Río Grande
SV-000047,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-002,Reemplazo de filtro de aire,26/08/2024,27/08/2024,"1,5",M. Ruiz,Reparado,filtro_aire:17406,28840,17406,46246,Planta 4 - Río Grande
SV-000048,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,26/02/2022,27/02/2022,"1,58",L. Gómez,OK,sin_repuestos,44240,0,44240,Planta 4 - Río Grande
SV-000049,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,27/05/2022,28/05/2022,"1,8",M. Gómez,Reparado,sin_repuestos,50400,0,50400,Planta 4 - Ushuaia
SV-000050,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,09/03/2022,09/04/2022,"1,56",L. Gómez,OK,sin_repuestos,43680,0,43680,Planta 4 - Río Grande
SV-000051,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,12/01/2022,12/02/2022,"1,47",R. Soto,Observaciones,sin_repuestos,41160,0,41160,Planta 4 - Río Grande
SV-000052,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,21/02/2023,22/02/2023,"1,69",L. Gómez,OK,sin_repuestos,47320,0,47320,Planta 4 - Río Grande
SV-000053,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,24/11/2023,25/11/2023,"1,31",R. Soto,OK,sin_repuestos,36680,0,36680,Planta 4 - Río Grande
SV-000054,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,25/05/2024,26/05/2024,"1,74",J. Pérez,OK,sin_repuestos,48720,0,48720,Planta 4 - Ushuaia
SV-000055,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,07/09/2024,09/08/2024,"1,62",S. López,OK,sin_repuestos,45360,0,45360,Planta 4 - Ushuaia
SV-000056,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,31/08/2025,09/01/2025,"1,27",M. Ruiz,Reparado,sin_repuestos,35560,0,35560,Planta 4 - Río Grande
SV-000057,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-004,Revisión de correas de ventilador y tensión,24/02/2022,25/02/2022,"0,96",M. Gómez,OK,correas:28923,26880,28923,55803,Planta 4 - Ushuaia
SV-000058,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-004,Revisión de correas de ventilador y tensión,03/01/2023,03/02/2023,"0,93",A. Torres,OK,correas:19776,26040,19776,45816,Planta 4 - Ushuaia
SV-000059,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-004,Revisión de correas de ventilador y tensión,25/02/2024,26/02/2024,"0,97",R. Soto,OK,correas:26203,27160,26203,53363,Planta 4 - Ushuaia
SV-000060,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-004,Revisión de correas de ventilador y tensión,26/02/2025,26/02/2025,"1,11",M. Ruiz,OK,correas:25405,31080,25405,56485,Planta 4 - Tolhuin
SV-000061,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-005,Limpieza de radiador y sistema de refrigeración,30/08/2022,31/08/2022,"1,87",M. Gómez,Reparado,sin_repuestos,52360,0,52360,Planta 4 - Tolhuin
SV-000062,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-005,Limpieza de radiador y sistema de refrigeración,24/08/2023,25/08/2023,"1,59",M. Gómez,OK,sin_repuestos,44520,0,44520,Planta 4 - Tolhuin
SV-000063,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-005,Limpieza de radiador y sistema de refrigeración,27/02/2024,28/02/2024,"1,67",J. Pérez,OK,sin_repuestos,46760,0,46760,Planta 4 - Ushuaia
SV-000064,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-005,Limpieza de radiador y sistema de refrigeración,27/08/2024,28/08/2024,"1,28",S. López,Reparado,sin_repuestos,35840,0,35840,Planta 4 - Río Grande
SV-000065,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-005,Limpieza de radiador y sistema de refrigeración,24/08/2025,25/08/2025,"1,44",R. Soto,OK,sin_repuestos,40320,0,40320,Planta 4 - Río Grande
SV-000066,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,03/04/2022,03/05/2022,"1,23",A. Torres,OK,filtro_combustible:19167,34440,19167,53607,Planta 4 - Ushuaia
SV-000067,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,31/05/2022,31/05/2022,"1,04",R. Soto,OK,filtro_combustible:17419,29120,17419,46539,Planta 4 - Tolhuin
SV-000068,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,09/05/2022,09/06/2022,"1,05",A. Torres,OK,filtro_combustible:19070,29400,19070,48470,Planta 4 - Ushuaia
SV-000069,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,28/11/2022,28/11/2022,"0,97",M. Gómez,OK,filtro_combustible:23365,27160,23365,50525,Planta 4 - Tolhuin
SV-000070,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,03/03/2023,03/04/2023,"1,5",S. López,Reparado,filtro_combustible:10463,32200,10463,42663,Planta 4 - Tolhuin
SV-000071,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,01/06/2023,02/06/2023,"1,12",M. Ruiz,OK,filtro_combustible:17719,31360,17719,49079,Planta 4 - Río Grande
SV-000072,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,28/08/2023,29/08/2023,"0,84",S. López,Reparado,filtro_combustible:9698,23520,9698,33218,Planta 4 - Río Grande
SV-000073,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,29/11/2023,29/11/2023,"1,16",J. Pérez,OK,filtro_combustible:21522,32480,21522,54002,Planta 4 - Río Grande
SV-000074,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,25/02/2024,26/02/2024,"0,98",A. Torres,OK,filtro_combustible:20630,27440,20630,48070,Planta 4 - Ushuaia
SV-000075,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,24/05/2024,25/05/2024,"0,97",J. Pérez,Reparado,filtro_combustible:19859,27160,19859,47019,Planta 4 - Río Grande
SV-000076,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,26/08/2024,27/08/2024,"1,09",J. Pérez,OK,filtro_combustible:20715,30520,20715,51235,Planta 4 - Ushuaia
SV-000077,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,25/11/2024,26/11/2024,"1,5",M. Gómez,OK,filtro_combustible:17374,35560,17374,52934,Planta 4 - Río Grande
SV-000078,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,03/01/2025,03/02/2025,1,L. Gómez,OK,filtro_combustible:18965,28000,18965,46965,Planta 4 - Tolhuin
SV-000079,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,06/03/2025,06/04/2025,"0,98",M. Gómez,OK,filtro_combustible:22133,27440,22133,49573,Planta 4 - Ushuaia
SV-000080,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,31/08/2025,09/01/2025,"0,89",R. Soto,OK,filtro_combustible:18969,24920,18969,43889,Planta 4 - Río Grande
SV-000081,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-007,Inspección del alternador y cepillos,03/04/2022,03/05/2022,"0,84",R. Soto,Reparado,sin_repuestos,23520,0,23520,Planta 4 - Ushuaia
SV-000082,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-007,Inspección del alternador y cepillos,22/02/2023,23/02/2023,"0,72",A. Torres,OK,sin_repuestos,20160,0,20160,Planta 4 - Ushuaia
SV-000083,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-007,Inspección del alternador y cepillos,29/02/2024,03/01/2024,"0,77",J. Pérez,OK,sin_repuestos,21560,0,21560,Planta 4 - Tolhuin
SV-000084,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-007,Inspección del alternador y cepillos,27/02/2025,28/02/2025,"1,07",L. Gómez,Observaciones,sin_repuestos,29960,0,29960,Planta 4 - Tolhuin
SV-000085,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,03/01/2022,03/02/2022,"0,52",R. Soto,OK,sin_repuestos,14560,0,14560,Planta 4 - Ushuaia
SV-000086,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,07/09/2022,09/08/2022,"1,5",M. Ruiz,Reparado,sin_repuestos,8960,0,8960,Planta 4 - Tolhuin
SV-000087,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,06/05/2023,06/06/2023,"0,63",L. Gómez,OK,sin_repuestos,17640,0,17640,Planta 4 - Tolhuin
SV-000088,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,31/08/2023,09/01/2023,"1,5",A. Torres,OK,sin_repuestos,17080,0,17080,Planta 4 - Río Grande
SV-000089,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,12/04/2023,12/05/2023,"0,48",J. Pérez,OK,sin_repuestos,13440,0,13440,Planta 4 - Tolhuin
SV-000090,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,24/02/2024,25/02/2024,"0,92",M. Ruiz,Observaciones,sin_repuestos,25760,0,25760,Planta 4 - Ushuaia
SV-000091,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,29/05/2024,30/05/2024,"1,5",M. Ruiz,Reparado,sin_repuestos,12320,0,12320,Planta 4 - Tolhuin
SV-000092,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,28/08/2024,29/08/2024,"0,45",M. Gómez,OK,sin_repuestos,12600,0,12600,Planta 4 - Ushuaia
SV-000093,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,28/11/2024,29/11/2024,"1,5",M. Ruiz,Reparado,sin_repuestos,8960,0,8960,Planta 4 - Tolhuin
SV-000094,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,29/05/2025,30/05/2025,"0,33",A. Torres,OK,sin_repuestos,9240,0,9240,Planta 4 - Tolhuin
SV-000095,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-009,Limpieza general y revisión de terminales,03/01/2022,03/02/2022,"1,02",R. Soto,Reparado,sin_repuestos,28560,0,28560,Planta 4 - Tolhuin
SV-000096,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-009,Limpieza general y revisión de terminales,28/08/2022,29/08/2022,"1,31",A. Torres,Reparado,sin_repuestos,36680,0,36680,Planta 4 - Río Grande
SV-000097,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-009,Limpieza general y revisión de terminales,25/02/2023,26/02/2023,"1,09",J. Pérez,Reparado,sin_repuestos,30520,0,30520,Planta 4 - Ushuaia
SV-000098,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-009,Limpieza general y revisión de terminales,23/02/2024,23/02/2024,"1,5",M. Ruiz,OK,sin_repuestos,26600,0,26600,Planta 4 - Ushuaia
SV-000099,EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-009,Limpieza general y revisión de terminales,28/02/2025,03/01/2025,"1,04",S. López,Observaciones,sin_repuestos,29120,0,29120,Planta 4 - Ushuaia
